"route","region","matssname","complete","n_missing","prop_missing","n_possible_years"
1,4,"bbs_rtrg_1_4",FALSE,28,0.622222222222222,45
2,4,"bbs_rtrg_2_4",FALSE,10,0.204081632653061,49
3,4,"bbs_rtrg_3_4",FALSE,7,0.145833333333333,48
4,4,"bbs_rtrg_4_4",FALSE,13,0.276595744680851,47
6,4,"bbs_rtrg_6_4",FALSE,19,0.404255319148936,47
7,4,"bbs_rtrg_7_4",FALSE,4,0.0930232558139535,43
8,4,"bbs_rtrg_8_4",FALSE,1,0.0833333333333333,12
9,4,"bbs_rtrg_9_4",FALSE,2,0.0416666666666667,48
10,4,"bbs_rtrg_10_4",FALSE,6,0.130434782608696,46
11,4,"bbs_rtrg_11_4",FALSE,27,0.574468085106383,47
12,4,"bbs_rtrg_12_4",FALSE,19,0.542857142857143,35
13,4,"bbs_rtrg_13_4",FALSE,9,0.183673469387755,49
14,4,"bbs_rtrg_14_4",FALSE,9,0.214285714285714,42
15,4,"bbs_rtrg_15_4",FALSE,11,0.234042553191489,47
16,4,"bbs_rtrg_16_4",FALSE,4,0.148148148148148,27
17,4,"bbs_rtrg_17_4",FALSE,8,0.19047619047619,42
18,4,"bbs_rtrg_18_4",FALSE,8,0.177777777777778,45
19,4,"bbs_rtrg_19_4",FALSE,17,0.386363636363636,44
20,4,"bbs_rtrg_20_4",FALSE,4,0.0833333333333333,48
21,4,"bbs_rtrg_21_4",FALSE,10,0.416666666666667,24
22,4,"bbs_rtrg_22_4",FALSE,3,0.0625,48
24,4,"bbs_rtrg_24_4",FALSE,16,0.355555555555556,45
25,4,"bbs_rtrg_25_4",FALSE,17,0.377777777777778,45
26,4,"bbs_rtrg_26_4",FALSE,8,0.173913043478261,46
27,4,"bbs_rtrg_27_4",FALSE,4,0.0930232558139535,43
28,4,"bbs_rtrg_28_4",FALSE,6,0.12,50
29,4,"bbs_rtrg_29_4",FALSE,5,0.106382978723404,47
30,4,"bbs_rtrg_30_4",FALSE,12,0.272727272727273,44
31,4,"bbs_rtrg_31_4",FALSE,18,0.36,50
32,4,"bbs_rtrg_32_4",FALSE,15,0.405405405405405,37
33,4,"bbs_rtrg_33_4",FALSE,8,0.275862068965517,29
34,4,"bbs_rtrg_34_4",FALSE,28,0.622222222222222,45
36,4,"bbs_rtrg_36_4",FALSE,22,0.55,40
37,4,"bbs_rtrg_37_4",FALSE,18,0.4,45
38,4,"bbs_rtrg_38_4",FALSE,8,0.333333333333333,24
39,4,"bbs_rtrg_39_4",FALSE,2,0.0769230769230769,26
40,4,"bbs_rtrg_40_4",FALSE,3,0.06,50
42,4,"bbs_rtrg_42_4",FALSE,7,0.291666666666667,24
44,4,"bbs_rtrg_44_4",FALSE,5,0.294117647058824,17
49,4,"bbs_rtrg_49_4",FALSE,2,0.0909090909090909,22
50,4,"bbs_rtrg_50_4",FALSE,12,0.292682926829268,41
54,4,"bbs_rtrg_54_4",FALSE,25,0.714285714285714,35
55,4,"bbs_rtrg_55_4",FALSE,15,0.326086956521739,46
62,4,"bbs_rtrg_62_4",FALSE,7,0.269230769230769,26
63,4,"bbs_rtrg_63_4",TRUE,0,0,25
77,4,"bbs_rtrg_77_4",FALSE,3,0.12,25
78,4,"bbs_rtrg_78_4",FALSE,4,0.181818181818182,22
96,4,"bbs_rtrg_96_4",FALSE,12,0.428571428571429,28
101,4,"bbs_rtrg_101_4",FALSE,14,0.518518518518518,27
105,4,"bbs_rtrg_105_4",FALSE,7,0.179487179487179,39
106,4,"bbs_rtrg_106_4",FALSE,8,0.347826086956522,23
107,4,"bbs_rtrg_107_4",FALSE,4,0.181818181818182,22
108,4,"bbs_rtrg_108_4",FALSE,12,0.413793103448276,29
109,4,"bbs_rtrg_109_4",FALSE,11,0.366666666666667,30
110,4,"bbs_rtrg_110_4",FALSE,18,0.5625,32
111,4,"bbs_rtrg_111_4",FALSE,2,0.142857142857143,14
112,4,"bbs_rtrg_112_4",FALSE,15,0.576923076923077,26
113,4,"bbs_rtrg_113_4",FALSE,3,0.107142857142857,28
114,4,"bbs_rtrg_114_4",FALSE,3,0.103448275862069,29
115,4,"bbs_rtrg_115_4",FALSE,1,0.0333333333333333,30
116,4,"bbs_rtrg_116_4",FALSE,11,0.407407407407407,27
121,4,"bbs_rtrg_121_4",FALSE,5,0.185185185185185,27
122,4,"bbs_rtrg_122_4",FALSE,15,0.517241379310345,29
123,4,"bbs_rtrg_123_4",FALSE,3,0.2,15
125,4,"bbs_rtrg_125_4",FALSE,18,0.428571428571429,42
126,4,"bbs_rtrg_126_4",FALSE,2,0.166666666666667,12
127,4,"bbs_rtrg_127_4",FALSE,7,0.259259259259259,27
128,4,"bbs_rtrg_128_4",TRUE,0,0,25
129,4,"bbs_rtrg_129_4",TRUE,0,0,24
131,4,"bbs_rtrg_131_4",TRUE,0,0,19
136,4,"bbs_rtrg_136_4",FALSE,2,0.117647058823529,17
137,4,"bbs_rtrg_137_4",FALSE,15,0.555555555555556,27
138,4,"bbs_rtrg_138_4",FALSE,9,0.375,24
139,4,"bbs_rtrg_139_4",FALSE,6,0.285714285714286,21
141,4,"bbs_rtrg_141_4",FALSE,1,0.0454545454545455,22
143,4,"bbs_rtrg_143_4",FALSE,4,0.235294117647059,17
196,4,"bbs_rtrg_196_4",FALSE,5,0.172413793103448,29
201,4,"bbs_rtrg_201_4",FALSE,5,0.2,25
203,4,"bbs_rtrg_203_4",FALSE,11,0.407407407407407,27
204,4,"bbs_rtrg_204_4",FALSE,4,0.166666666666667,24
208,4,"bbs_rtrg_208_4",FALSE,17,0.566666666666667,30
209,4,"bbs_rtrg_209_4",TRUE,0,0,12
210,4,"bbs_rtrg_210_4",FALSE,9,0.36,25
211,4,"bbs_rtrg_211_4",FALSE,14,0.56,25
212,4,"bbs_rtrg_212_4",FALSE,2,0.0952380952380952,21
213,4,"bbs_rtrg_213_4",TRUE,0,0,25
214,4,"bbs_rtrg_214_4",FALSE,2,0.0833333333333333,24
215,4,"bbs_rtrg_215_4",FALSE,6,0.230769230769231,26
221,4,"bbs_rtrg_221_4",FALSE,11,0.478260869565217,23
227,4,"bbs_rtrg_227_4",FALSE,4,0.16,25
228,4,"bbs_rtrg_228_4",FALSE,6,0.222222222222222,27
229,4,"bbs_rtrg_229_4",FALSE,2,0.08,25
231,4,"bbs_rtrg_231_4",FALSE,3,0.2,15
241,4,"bbs_rtrg_241_4",FALSE,9,0.333333333333333,27
251,4,"bbs_rtrg_251_4",FALSE,6,0.193548387096774,31
255,4,"bbs_rtrg_255_4",FALSE,14,0.583333333333333,24
302,4,"bbs_rtrg_302_4",FALSE,2,0.0833333333333333,24
304,4,"bbs_rtrg_304_4",FALSE,1,0.0526315789473684,19
306,4,"bbs_rtrg_306_4",TRUE,0,0,11
307,4,"bbs_rtrg_307_4",FALSE,13,0.565217391304348,23
309,4,"bbs_rtrg_309_4",FALSE,1,0.0714285714285714,14
310,4,"bbs_rtrg_310_4",FALSE,8,0.421052631578947,19
311,4,"bbs_rtrg_311_4",FALSE,4,0.210526315789474,19
312,4,"bbs_rtrg_312_4",FALSE,3,0.130434782608696,23
313,4,"bbs_rtrg_313_4",FALSE,5,0.217391304347826,23
315,4,"bbs_rtrg_315_4",FALSE,6,0.24,25
321,4,"bbs_rtrg_321_4",FALSE,13,0.541666666666667,24
328,4,"bbs_rtrg_328_4",FALSE,10,0.454545454545455,22
329,4,"bbs_rtrg_329_4",FALSE,7,0.333333333333333,21
330,4,"bbs_rtrg_330_4",FALSE,2,0.0769230769230769,26
404,4,"bbs_rtrg_404_4",TRUE,0,0,13
408,4,"bbs_rtrg_408_4",FALSE,10,0.434782608695652,23
421,4,"bbs_rtrg_421_4",FALSE,11,0.478260869565217,23
1,11,"bbs_rtrg_1_11",FALSE,18,0.439024390243902,41
2,11,"bbs_rtrg_2_11",FALSE,7,0.25,28
