"id","english_common_name","sporder","family","genus","species","subspecies","Scientific","Sequence","Order_","FamilyName","Family","Subfamily","Tribe","CommonName","Authority","BirdLifeTa","RedListCat","Synonyms","Alternativ","TaxonomicN","SISRecID","hand_match_notes","hand_match_confident"
"sp20630","Egyptian Goose","Anseriformes","Anatidae","Alopochen","aegyptiaca",NA,"Alopochen aegyptiaca",450,"ANSERIFORMES","Anatidae","Ducks, geese, swans","Anatinae","Tadornini","Egyptian Goose","(Linnaeus, 1766)","R","LC","Alopochen aegyptiacus","Oie d'Egypte",NA,22679993,NA,NA
"sp10210","Muscovy Duck","Anseriformes","Anatidae","Cairina","moschata",NA,"Cairina moschata",460,"ANSERIFORMES","Anatidae","Ducks, geese, swans","Anatinae","Cairinini","Muscovy Duck","(Linnaeus, 1758)","R","LC",NA,NA,NA,22680061,NA,NA
"sp3110","Plain Chachalaca","Galliformes","Cracidae","Ortalis","vetula",NA,"Ortalis vetula",110,"GALLIFORMES","Cracidae","Guans, chachalacas, curassows","Ortalisinae",NA,"Plain Chachalaca","(Wagler, 1830)","R","LC",NA,NA,NA,22678305,NA,NA
"sp2920","Mountain Quail","Galliformes","Odontophoridae","Oreortyx","pictus",NA,"Oreortyx pictus",152,"GALLIFORMES","Odontophoridae","New World quails","Odontophorinae",NA,"Mountain Quail","(Douglas, 1829)","R","LC",NA,NA,NA,22679591,NA,NA
"sp2890","Northern Bobwhite","Galliformes","Odontophoridae","Colinus","virginianus","ridgwayi","Colinus virginianus",153,"GALLIFORMES","Odontophoridae","New World quails","Odontophorinae",NA,"Northern Bobwhite","(Linnaeus, 1758)","R","NT",NA,"Bobwhite, Bobwhite Quail",NA,22728956,NA,NA
"sp2890","Northern Bobwhite","Galliformes","Odontophoridae","Colinus","virginianus",NA,"Colinus virginianus",153,"GALLIFORMES","Odontophoridae","New World quails","Odontophorinae",NA,"Northern Bobwhite","(Linnaeus, 1758)","R","NT",NA,"Bobwhite, Bobwhite Quail",NA,22728956,NA,NA
"sp2930","Scaled Quail","Galliformes","Odontophoridae","Callipepla","squamata",NA,"Callipepla squamata",157,"GALLIFORMES","Odontophoridae","New World quails","Odontophorinae",NA,"Scaled Quail","(Vigors, 1830)","R","LC",NA,NA,NA,22679594,NA,NA
"sp2940","California Quail","Galliformes","Odontophoridae","Callipepla","californica","achrustera","Callipepla californica",160,"GALLIFORMES","Odontophoridae","New World quails","Odontophorinae",NA,"California Quail","(Shaw, 1798)","R","LC","Lophortyx californica",NA,NA,22679603,NA,NA
"sp2940","California Quail","Galliformes","Odontophoridae","Callipepla","californica","californica","Callipepla californica",160,"GALLIFORMES","Odontophoridae","New World quails","Odontophorinae",NA,"California Quail","(Shaw, 1798)","R","LC","Lophortyx californica",NA,NA,22679603,NA,NA
"sp2950","Gambel's Quail","Galliformes","Odontophoridae","Callipepla","gambelii",NA,"Callipepla gambelii",159,"GALLIFORMES","Odontophoridae","New World quails","Odontophorinae",NA,"Gambel's Quail","Gambel, 1843","R","LC","Lophortyx gambelii",NA,NA,22679609,NA,NA
"sp2960","Montezuma Quail","Galliformes","Odontophoridae","Cyrtonyx","montezumae",NA,"Cyrtonyx montezumae",181,"GALLIFORMES","Odontophoridae","New World quails","Odontophorinae",NA,"Montezuma Quail","(Vigors, 1830)","R","LC",NA,NA,"Cyrtonyx montezumae and C. sallei (del Hoyo and Collar 2014) were previously lumped as C. montezumae following Sibley and Monroe (1990, 1993), but prior to that had been treated as two species in Collar and Andrew (1988).",22728212,NA,NA
"sp2882","Chukar","Galliformes","Phasianidae","Alectoris","chukar","pubescens","Alectoris chukar",246,"GALLIFORMES","Phasianidae","Pheasants, partridges, turkeys, grouse","Phasianinae","Coturnicini","Chukar","(Gray, 1830)","R","LC",NA,"Chuckar, Chukar Partridge, Perdrix chukar",NA,22678691,NA,NA
"sp2881","Gray Partridge","Galliformes","Phasianidae","Perdix","perdix",NA,"Perdix perdix",347,"GALLIFORMES","Phasianidae","Pheasants, partridges, turkeys, grouse","Phasianinae","Tetraonini","Grey Partridge","(Linnaeus, 1758)","R","LC",NA,"Partridge, Gray Partridge",NA,22678911,NA,NA
"sp3091","Ring-necked Pheasant","Galliformes","Phasianidae","Phasianus","colchicus",NA,"Phasianus colchicus",329,"GALLIFORMES","Phasianidae","Pheasants, partridges, turkeys, grouse","Phasianinae","Phasianini","Common Pheasant","(Linnaeus, 1758)","R","LC",NA,NA,"Phasianus colchicus and P. versicolor (del Hoyo and Collar 2014) were previously lumped as P. colchicus following Sibley and Monroe (1990, 1993).",45100023,NA,NA
