Sequence,Order_,FamilyName,Family,Subfamily,Tribe,CommonName,Scientific,Authority,BirdLifeTa,RedListCat,Synonyms,Alternativ,TaxonomicN,SISRecID
1,STRUTHIONIFORMES,Struthionidae,Ostriches,NA,NA,Common Ostrich,Struthio camelus,"Linnaeus, 1758",R,LC,NA,NA,"Struthio camelus and S. molybdophanes (del Hoyo and Collar 2014) were previously lumped as S. camelus following Sibley and Monroe (1990, 1993).",45020636
2,STRUTHIONIFORMES,Struthionidae,Ostriches,NA,NA,Somali Ostrich,Struthio molybdophanes,"Reichenow, 1883",R,VU,NA,NA,"Struthio camelus and S. molybdophanes (del Hoyo and Collar 2014) were previously lumped as S. camelus following Sibley and Monroe (1990, 1993).",22732795
3,STRUTHIONIFORMES,Rheidae,Rheas,NA,NA,Greater Rhea,Rhea americana,"(Linnaeus, 1758)",R,NT,NA,"Common Rhea, Avestruz, Ñandú, Ñandú Común",NA,22678073
4,STRUTHIONIFORMES,Rheidae,Rheas,NA,NA,Lesser Rhea,Rhea pennata,"d'Orbigny, 1834",R,LC,NA,NA,"Rhea pennata and R. tarapacensis (del Hoyo and Collar 2014) were previously lumped as R. pennata following Sibley and Monroe (1990, 1993).",22728199
5,STRUTHIONIFORMES,Rheidae,Rheas,NA,NA,Puna Rhea,Rhea tarapacensis,"(Chubb, 1913)",R,NT,NA,NA,"Rhea pennata and R. tarapacensis (del Hoyo and Collar 2014) were previously lumped as R. pennata following Sibley and Monroe (1990, 1993).",22728206
6,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Tawny-breasted Tinamou,Nothocercus julius,"(Bonaparte, 1854)",R,LC,NA,NA,NA,22678157
7,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Highland Tinamou,Nothocercus bonapartei,"Gray, 1867",R,LC,NA,NA,NA,22678154
8,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Hooded Tinamou,Nothocercus nigrocapillus,"(G. R. Gray, 1867)",R,LC,NA,NA,NA,22678160
9,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Grey Tinamou,Tinamus tao,"Temminck, 1815",R,VU,NA,Gray Tinamou,NA,22678135
10,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Solitary Tinamou,Tinamus solitarius,"(Vieillot, 1819)",R,NT,NA,"Tinamu Macuco, Tinamu Grande, Macuco",NA,22678139
11,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Black Tinamou,Tinamus osgoodi,"Conover, 1949",R,VU,NA,NA,NA,22678145
12,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Great Tinamou,Tinamus major,"(Gmelin, 1789)",R,NT,NA,NA,NA,22678148
13,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,White-throated Tinamou,Tinamus guttatus,"Pelzeln, 1863",R,NT,NA,NA,NA,22678151
14,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Berlepsch's Tinamou,Crypturellus berlepschi,"Rothschild, 1897",R,LC,NA,NA,NA,22678163
15,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Cinereous Tinamou,Crypturellus cinereus,"(Gmelin, 1789)",R,LC,NA,NA,NA,22678166
