"","countrynum","statenum","route","routename","active","latitude","longitude","stratum","bcr","routetypeid","routetypedetailid","regionname"
"1",124,4,9,"BUFFALO HILL",1,50.60147,-113.02852,38,11,1,1,"Alberta"
"2",124,4,20,"HALKIRK",1,52.17208,-112.33861,37,11,1,1,"Alberta"
"3",124,4,28,"LINDBROOK",1,53.33769,-112.78208,30,11,1,1,"Alberta"
"4",124,4,29,"CALAHOO",1,53.68701,-113.88548,30,11,1,1,"Alberta"
"5",124,4,40,"THUNDER LAKE",1,54.12038,-114.71491,29,6,1,1,"Alberta"
"6",124,11,45,"WILLIAMS LK",1,52.14952,-122.06768,63,10,1,1,"British Columbia"
"7",124,11,208,"SUMMERLAND",1,49.59762,-119.72963,64,9,1,1,"British Columbia"
"8",124,11,255,"PRINCE GEORGE",1,53.9421,-122.8157,63,10,1,1,"British Columbia"
"9",124,11,413,"NANAIMO RIV",1,49.19418,-124.09906,94,5,1,1,"British Columbia"
"10",124,43,7,"INGRAHAM",1,62.52539,-114.18089,25,7,1,1,"Northwest Territories"
"11",124,45,2,"DUFRESNE",1,49.72673,-96.72108,30,11,1,1,"Manitoba"
"12",124,45,7,"MATHER",1,49.04413,-99.21111,37,11,1,1,"Manitoba"
"13",124,56,26,"RED BANK",1,46.95989,-65.79167,28,14,1,1,"New Brunswick"
"14",124,56,34,"MCADAM",1,45.57721,-67.34539,28,14,1,1,"New Brunswick"
"15",124,56,41,"HAMPTON",1,45.63438,-65.79995,28,14,1,1,"New Brunswick"
"16",124,65,21,"N KINGSTON",1,45.10326,-64.68647,28,14,1,1,"Nova Scotia"
"17",124,65,29,"GASPEREAU LAKE",0,44.73024,-64.61365,28,14,1,1,"Nova Scotia"
"18",124,68,7,"STRATFORD",1,43.09018,-80.85084,16,13,1,1,"Ontario"
"19",124,68,11,"KEMPTVILLE",1,44.94773,-75.58905,18,13,1,1,"Ontario"
"20",124,68,14,"PICTON",1,44.0782,-77.37166,18,13,1,1,"Ontario"
"21",124,68,15,"ROBLIN",1,44.35414,-77.00984,18,13,1,1,"Ontario"
"22",124,68,22,"PAISLEY",1,44.3202,-81.23315,18,13,1,1,"Ontario"
"23",124,68,26,"BARRY'S BAY",1,45.50222,-77.74688,28,12,1,1,"Ontario"
"24",124,68,37,"MANITOWANING",1,45.78934,-81.73699,28,13,1,1,"Ontario"
"25",124,68,66,"STRATTON",1,48.67914,-94.16309,28,12,1,1,"Ontario"
"26",124,68,83,"MAYHEW",1,45.47674,-76.62126,18,12,1,1,"Ontario"
"27",124,68,113,"GLEN TAY",1,44.845,-76.36333,18,13,1,1,"Ontario"
"28",124,68,119,"WILFRID",1,44.33161,-79.18377,18,13,1,1,"Ontario"
"29",124,76,1,"EARDLEY",1,45.55411,-76.11098,18,12,1,1,"Quebec"
