uid,nightuid,namedLocation,domainID,siteID,plotID,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF,publicationDate,release
45dced20-4f69-4ac2-ac3d-da87245e864a,A8B91DC4D3DF48E690CC5B0287E409A0,BART_007.mammalGrid.mam,D01,BART,BART_007,2014-05-28,2014-05-28,,,"",,20210113T180015Z,RELEASE-2021
f8769710-d85b-4f4d-9fc4-8efbf93236b7,D26FC247E61948068E1F16E1C2A0148C,BART_012.mammalGrid.mam,D01,BART,BART_012,2014-05-28,2014-05-28,,,"",,20210113T180015Z,RELEASE-2021
48a0b0a8-6e71-4b9e-b9d3-b8341bfae88b,4D6D7F1A63D24D2EB55447CB4CF4D235,BART_015.mammalGrid.mam,D01,BART,BART_015,2014-05-28,2014-05-28,,,"",,20210113T180015Z,RELEASE-2021
cf794a2a-46e9-408c-90f1-00d21552f066,E0990A172DB3483B9BBE03DC525C7295,BART_001.mammalGrid.mam,D01,BART,BART_001,2014-05-28,2014-05-28,,,"",,20210113T180015Z,RELEASE-2021
4ee689a8-0dc9-495e-b082-a35910af3f61,66D5819A18A8416580B6AD1CF010D00E,BART_012.mammalGrid.mam,D01,BART,BART_012,2014-05-29,2014-05-29,,,Bear destroyed many traps in grid,,20210113T180015Z,RELEASE-2021
e1613332-fe52-47a1-a7c9-764cfb29cb77,828E4DBF51FB4C70AF4619581DD606CA,BART_015.mammalGrid.mam,D01,BART,BART_015,2014-05-29,2014-05-29,,,"",,20210113T180015Z,RELEASE-2021
f261b271-e0a2-4515-961d-44ffbd98b456,0E44B84E37524E3E98BD7AF5D151D820,BART_007.mammalGrid.mam,D01,BART,BART_007,2014-05-29,2014-05-29,,,"",,20210113T180015Z,RELEASE-2021
096bb0fe-a478-41dd-959f-9fa53d96a658,0E328736B17445748B7A18E03CF4C587,BART_001.mammalGrid.mam,D01,BART,BART_001,2014-05-29,2014-05-29,,,"",,20210113T180015Z,RELEASE-2021
b9a0ede6-2b92-4920-b2ba-2718040d9c33,572ACCCB5D114B768782CF7359730846,BART_015.mammalGrid.mam,D01,BART,BART_015,2014-05-30,2014-05-30,,,"",,20210113T180015Z,RELEASE-2021
3f1f776c-1507-4644-a625-0d88c7ecb091,8828817745BF4EA2B37DBA0345D9D9CC,BART_007.mammalGrid.mam,D01,BART,BART_007,2014-05-30,2014-05-30,,,"",,20210113T180015Z,RELEASE-2021
6614babd-71a6-498b-a838-3c0dd8d38762,14B0B93E14A94A4C82A6A4C46E507A82,BART_001.mammalGrid.mam,D01,BART,BART_001,2014-05-30,2014-05-30,,,"",,20210113T180015Z,RELEASE-2021
c9df21b8-853c-46ef-9613-7f1ae78073a4,4A8D0E622AB74C79A881B2E03E22BC87,BART_001.mammalGrid.mam,D01,BART,BART_001,2014-06-28,2014-06-28,,"","",,20210113T180025Z,RELEASE-2021
40108701-3a04-4534-b8bc-848c78b38844,3A20629AE9AB4794A324E67A0551501C,BART_062.mammalGrid.mam,D01,BART,BART_062,2014-06-28,2014-06-28,,NEON.DOC.000481vD,"",,20210113T180025Z,RELEASE-2021
3743d905-06f6-4f02-85be-9723e3869189,C5A2F5A380D244C18FC53B462B8C86D5,BART_012.mammalGrid.mam,D01,BART,BART_012,2014-06-28,2014-06-28,,"","",,20210113T180025Z,RELEASE-2021
e7e5348d-cdcc-4fe5-9945-a0b252a5dec4,59A1B1308AA649F18CA982168D92947E,BART_012.mammalGrid.mam,D01,BART,BART_012,2014-06-29,2014-06-29,,"","",,20210113T180025Z,RELEASE-2021
787543d5-db78-4d6a-99f0-7a33ce641a9c,E59ACCF41F62444A94E41B5AF3DF75F7,BART_062.mammalGrid.mam,D01,BART,BART_062,2014-06-29,2014-06-29,,NEON.DOC.000481vD,"",,20210113T180025Z,RELEASE-2021
48eb1f93-c20b-41db-9fd6-74a1edbe8eb3,D36F1B6D76E540C19BC41BC83B3416E8,BART_001.mammalGrid.mam,D01,BART,BART_001,2014-06-29,2014-06-29,,"","",,20210113T180025Z,RELEASE-2021
054b3b1a-14ef-478f-8509-94ec30b6ddf1,CDE6848DCA96467A8602C51DCEDCCCF0,BART_012.mammalGrid.mam,D01,BART,BART_012,2014-06-30,2014-06-30,,"",Many measurements not taken due to time constraints.,,20210113T180025Z,RELEASE-2021
a21abe7d-784d-4a79-a201-85a7169ded65,2A9DDBAD8B704FA7A2F8D734E5A06E4F,BART_062.mammalGrid.mam,D01,BART,BART_062,2014-06-30,2014-06-30,,NEON.DOC.000481vD,"",,20210113T180025Z,RELEASE-2021
5f2b919c-f0e2-445f-93f6-83c17caef9c2,2BA40415925E491980F4223A6827DDBB,BART_001.mammalGrid.mam,D01,BART,BART_001,2014-06-30,2014-06-30,,"","",,20210113T180025Z,RELEASE-2021
301dcccd-f5bc-430f-ac03-17432299b35a,41CD1AAE5D45436997F6CB720B9CF1B1,BART_007.mammalGrid.mam,D01,BART,BART_007,2014-07-01,2014-07-01,,,,,20210113T181309Z,RELEASE-2021
0cd42047-39c4-4c03-a262-ab285848352b,C298E46344344B3F93F5DEC4FBAC59FA,BART_015.mammalGrid.mam,D01,BART,BART_015,2014-07-01,2014-07-01,,,,,20210113T181309Z,RELEASE-2021
4ef96f59-1852-42b6-98dc-bbf653450e96,F0FC72EA8E3A4AA1876E37BECF608D70,BART_007.mammalGrid.mam,D01,BART,BART_007,2014-07-02,2014-07-02,,,,,20210113T181309Z,RELEASE-2021
657eeabe-cea7-4b47-bff6-2eb73b679272,B91E9ABD60234CFD88D219341250F6E9,BART_015.mammalGrid.mam,D01,BART,BART_015,2014-07-02,2014-07-02,,,,,20210113T181309Z,RELEASE-2021
b7201dbe-7085-43a4-bd2a-12430c503447,D02B22D166FD4E3A9AF8B8A0BFF5842F,BART_007.mammalGrid.mam,D01,BART,BART_007,2014-07-03,2014-07-03,,,,,20210113T181309Z,RELEASE-2021
31ddac0d-8886-441e-9072-f9e6dcd1addd,F1468003E4594CC7924C65727F70FB13,BART_015.mammalGrid.mam,D01,BART,BART_015,2014-07-03,2014-07-03,,,,,20210113T181309Z,RELEASE-2021
3ad78ccd-7b5c-4b52-8702-480b616579a2,FCF52D98B7E1489291104DC5BCC5E526,BART_012.mammalGrid.mam,D01,BART,BART_012,2014-08-25,2014-08-25,,,"",,20210113T180057Z,RELEASE-2021
ac01e806-4fb4-4950-bb56-ad1dd929bd2f,F4A16158CB1A41AC93A2495C3FE45B22,BART_062.mammalGrid.mam,D01,BART,BART_062,2014-08-25,2014-08-25,,,"",,20210113T180057Z,RELEASE-2021
29934f53-eaf9-4152-80de-c5d9baf44bb9,E38ADBC4E1EF423B904CE8D49D05205C,BART_001.mammalGrid.mam,D01,BART,BART_001,2014-08-25,2014-08-25,,,"",,20210113T180057Z,RELEASE-2021
cb1b390b-6066-4789-8413-16a7c07a2eb3,016A7167B34642259947A4B5F5D76206,BART_001.mammalGrid.mam,D01,BART,BART_001,2014-08-26,2014-08-26,,,"",,20210113T180057Z,RELEASE-2021
a13e2854-7681-4553-9ce8-ebf58c63c5ec,F34C836E820F470C87D4354EF3B31747,BART_012.mammalGrid.mam,D01,BART,BART_012,2014-08-26,2014-08-26,,,"Many traps destroyed by bear, two traps missing.",,20210113T180057Z,RELEASE-2021
3a038af6-a828-4b63-b547-f0ee95e80953,A9D235AD888345179C1D5A4573990444,BART_062.mammalGrid.mam,D01,BART,BART_062,2014-08-27,2014-08-27,,,"",,20210113T180057Z,RELEASE-2021
83b071dd-4b6a-462c-aca5-230e98906a8d,822E83F456714DE3B2AC818FEEC23D42,BART_001.mammalGrid.mam,D01,BART,BART_001,2014-08-27,2014-08-27,,,"",,20210113T180057Z,RELEASE-2021
2d49cf5e-0e25-4a3f-a623-d2f8eb2c55a6,8E1B49A62F5C48BF876D8CE4820B7D82,BART_012.mammalGrid.mam,D01,BART,BART_012,2014-08-27,2014-08-27,,,Grid not set due to extensive bear damage on 8/26,,20210113T180057Z,RELEASE-2021
42fb930a-8398-4a0c-bb09-11d83ac41773,70243528DC7E485B98FE8768F1C9EDCB,BART_015.mammalGrid.mam,D01,BART,BART_015,2014-08-28,2014-08-28,,,"",,20210113T180057Z,RELEASE-2021
e8621f0a-8840-447e-9c48-d6f1201dc562,C31042AE98A64CD091EA1EC26CA30726,BART_007.mammalGrid.mam,D01,BART,BART_007,2014-08-28,2014-08-28,,,"",,20210113T180057Z,RELEASE-2021
3ddaaa28-43f5-42f0-9da0-e20971d35133,CCF6031CA32549958DA993EE00A1F91D,BART_007.mammalGrid.mam,D01,BART,BART_007,2014-08-29,2014-08-29,,,"",,20210113T180057Z,RELEASE-2021
