"","scientificName","mean_wgt","sd_wgt","nind","var","log_m","log_var","log_var_est","var_est","sd_to_use","sd_estimated"
"1","Baiomys taylori",8.27272727272727,1.61912460361443,44,2.6215644820296,2.11296423371848,0.963771270107149,1.14610225731387,3.14590704549761,1.61912460361443,FALSE
"2","Chaetodipus baileyi",30.5910165484634,8.20793828314486,423,67.3702508599151,3.42070638900861,4.21020353858023,3.9423726899177,51.5407465465086,8.20793828314486,FALSE
"3","Chaetodipus eremicus",15.3832116788321,2.186172641741,274,4.7793508194968,2.73327676404789,1.56430472545935,2.47248114669743,11.8518164967399,2.186172641741,FALSE
"4","Chaetodipus hispidus",42.108843537415,12.3675067211474,882,152.955222497626,3.74025777889991,5.03014521514393,4.62565119373884,102.069218281876,12.3675067211474,FALSE
"5","Chaetodipus intermedius",14.2,2.28035085019828,30,5.2,2.65324196460721,1.64865862558738,2.30134730173418,9.98762974487757,2.28035085019828,FALSE
"6","Chaetodipus penicillatus",17.0337423312883,4.95856800149528,978,24.5873966254529,2.8351962198749,3.20223397935262,2.69040970370179,14.7377127791779,4.95856800149528,FALSE
"7","Dipodomys merriami",43.2396551724138,9.43447069918803,1740,89.0092373738375,3.76675801800317,4.48874015506353,4.68231514294445,108.019864735248,9.43447069918803,FALSE
"8","Dipodomys microps",64.904214559387,8.67192760134781,261,75.202328323018,4.17291256088335,4.32018219221875,5.55077222733935,257.436278498786,8.67192760134781,FALSE
"9","Dipodomys ordii",59.0425531914894,11.9879670285483,1786,143.711353477561,4.07825842447048,4.96780679815858,5.34837868828864,210.267112825223,11.9879670285483,FALSE
"10","Dipodomys spectabilis",118.022471910112,21.1853173469965,89,448.817671092952,4.77087504625049,6.10661672752638,6.82936129084435,924.600073311746,21.1853173469965,FALSE
"11","Lemmiscus curtatus",24.3076923076923,6.96879491476845,13,48.5641025641026,3.19079285612538,3.88288462761638,3.45076170111826,31.5243953332,6.96879491476845,FALSE
"12","Microtus longicaudus",29,NA,1,NA,3.36729582998647,NA,3.82816793909714,45.9782261148802,6.78072460102017,TRUE
"13","Microtus montanus",33,NA,1,NA,3.49650756146648,NA,4.10445401186882,60.6096433660893,7.78521954514382,TRUE
"14","Microtus ochrogaster",38.2899305555556,7.76576451033327,576,60.3070984299517,3.64518695184315,4.09944981537785,4.42236666886014,83.2931796491856,7.76576451033327,FALSE
"15","Microtus pennsylvanicus",31.1808333333333,10.7113059911285,1200,114.732076035585,3.43980358980659,4.74259963661452,3.98320714472276,53.6889466280113,10.7113059911285,FALSE
"16","Microtus pinetorum",23.1794871794872,4.95703537712759,39,24.5721997300945,3.14326771426253,3.20161571162997,3.34914140199524,28.478271756497,4.95703537712759,FALSE
"17","Mus musculus",16.3934010152284,4.94139260965439,394,24.4173609227471,2.79687887673454,3.19529439252096,2.60847791520212,13.5783676880215,4.94139260965439,FALSE
"18","Myodes gapperi",21.5752212389381,5.29026365547235,1243,27.9868895444117,3.07154549132888,3.33173616996432,3.19578186507222,24.4292666175851,5.29026365547235,FALSE
"19","Napaeozapus insignis",23.8437843784378,4.87958723313673,909,23.8103715657909,3.17152357030546,3.17012126582812,3.40955928672973,30.251908903377,4.87958723313673,FALSE
"20","Neotoma albigula",166.683473389356,47.2881803560342,357,2236.17200138482,5.11609664500617,7.71252075501277,7.56752893757174,1934.35446033263,47.2881803560342,FALSE
"21","Neotoma floridana",186.804400977995,62.4659976542187,409,3902.00086293686,5.23006208535659,8.26924474233548,7.81121473595441,2468.12673734711,62.4659976542187,FALSE
"22","Neotoma lepida",94,19.2873015219859,3,372,4.54329478227,5.91889385427315,6.3427393978064,568.351120601843,23.8401157841535,TRUE
"23","Neotoma mexicana",138.555555555556,34.8787582602618,9,1216.52777777778,4.93127136834382,7.10375599614108,7.17232759437263,1302.87363760145,34.8787582602618,FALSE
"24","Neotoma micropus",216.626262626263,68.9514152906478,99,4754.29767058339,5.3781735766455,8.46680426072293,8.12791308672996,3387.72230026729,68.9514152906478,FALSE
"25","Ochotona princeps",138,NA,1,NA,4.92725368515721,NA,7.16373681165843,1291.7288729442,35.9406298351073,TRUE
"26","Ochrotomys nuttalli",19.531914893617,4.20369046173185,94,17.6710134980554,2.97204978891043,2.87192564167914,2.98303588168522,19.7476773457632,4.20369046173185,FALSE
"27","Oryzomys palustris",64.8125,16.8966219503584,16,285.495833333333,4.17149848598975,5.65422743471053,5.54774859167961,256.659060591032,16.8966219503584,FALSE
"28","Perognathus amplus",14.5,3.70328039909021,8,13.7142857142857,2.67414864942653,2.61843804241252,2.34605087297529,10.4442425348296,3.70328039909021,FALSE
"29","Perognathus fasciatus",13,NA,1,NA,2.56494935746154,NA,2.112556257735,8.26935288706306,2.87564825510059,TRUE
"30","Perognathus flavescens",12,2.58198889747161,13,6.66666666666667,2.484906649788,1.89711998488588,1.94140550304865,6.96853839285595,2.58198889747161,FALSE
"31","Perognathus flavus",7.83969465648855,2.13265473836205,393,4.54821623305811,2.05919988672741,1.51473511940586,1.03114102186602,2.80426373615543,2.13265473836205,FALSE
"32","Perognathus parvus",19.9406779661017,3.55053230558878,1062,12.6062796530296,2.9927617642617,2.53419507496588,3.02732311678067,20.6419026037792,3.55053230558878,FALSE
"33","Peromyscus attwateri",21.5,3.72827037646145,6,13.9,3.06805293513362,2.63188884013665,3.18831393144058,24.2475099937309,3.72827037646145,FALSE
"34","Peromyscus boylii",23.5,2.12132034355964,2,4.5,3.15700042115011,1.50407739677627,3.3785052655627,29.3269024044591,5.4154318760796,TRUE
"35","Peromyscus eremicus",26.9178082191781,5.44863240908909,73,29.6875951293759,3.29278808315497,3.39072928614765,3.6688522753617,39.2068813236757,5.44863240908909,FALSE
"36","Peromyscus gossypinus",26.4633204633205,5.27867590336012,2072,27.8644192927148,3.27575964073502,3.32735058077975,3.63244132855571,37.8049984706168,5.27867590336012,FALSE
"37","Peromyscus leucopus",21.8942458979546,4.99451745488673,8898,24.9452046071682,3.08622385791347,3.21668160361122,3.2271677788117,25.2081606852965,4.99451745488673,FALSE
"38","Peromyscus maniculatus",19.2788891503883,4.30065001222678,8498,18.4955905276662,2.95901067084139,2.91753235381856,2.95515507951317,19.2047007445539,4.30065001222678,FALSE
"39","Peromyscus merriami",22,5.32290647422377,7,28.3333333333333,3.09104245335832,3.34403896782221,3.23747110650868,25.4692312637672,5.32290647422377,FALSE
"40","Peromyscus polionotus",14.626213592233,4.18721541244935,206,17.5327729102534,2.68281537034072,2.86407186727118,2.36458242779437,10.6395950905972,4.18721541244935,FALSE
"41","Peromyscus truei",22.2926829268293,3.87993522139095,287,15.05389732219,3.10425850474984,2.71163691595603,3.26573023510861,26.1992356088998,3.87993522139095,FALSE
"42","Phenacomys intermedius",24.6666666666667,6.83130051063973,6,46.6666666666667,3.20545280453606,3.84303013394119,3.48210823232739,32.5282268979492,6.83130051063973,FALSE
"43","Rattus norvegicus",156,NA,1,NA,5.04985600724954,NA,7.42589036146069,1678.89373002255,40.9743057295978,TRUE
"44","Rattus rattus",140,56.5685424949238,2,3200,4.9416424226093,8.07090608878782,7.19450342794976,1332.08868331553,36.4977901155061,TRUE
"45","Reithrodontomys fulvescens",13.2329545454545,3.25615800216527,176,10.6025649350649,2.58271027484619,2.36109594685292,2.15053341396394,8.58943890206939,3.25615800216527,FALSE
"46","Reithrodontomys humulis",9.36363636363636,2.46059859679417,11,6.05454545454545,2.23683371543127,1.80080930474797,1.41096530223008,4.09991114789402,2.46059859679417,FALSE
"47","Reithrodontomys megalotis",11.8053333333333,2.63196584453021,375,6.92724420677362,2.46855140676173,1.93546207275334,1.9064340200943,6.72905030543919,2.63196584453021,FALSE
"48","Reithrodontomys montanus",11.4063400576369,2.75161857353086,347,7.5714047742,2.43416934621565,2.02437862146168,1.83291682182392,6.25209633946513,2.75161857353086,FALSE
"49","Sigmodon arizonae",145,63.4717785056214,4,4028.66666666667,4.97673374242057,8.30119074825339,7.26953719483749,1435.88576389338,37.8930833252374,TRUE
"50","Sigmodon hispidus",106.037163443307,43.0784756870521,2637,1855.75506751994,4.66378963118853,7.52604693670654,6.60038665797076,735.379474613222,43.0784756870521,FALSE
"51","Zapus hudsonius",19.1835147744946,4.66983847316324,643,21.8073913654356,2.95405130472584,3.08224896578976,2.94455074992321,19.0021237630637,4.66983847316324,FALSE
"52","Zapus princeps",21.0119047619048,4.10551802527777,84,16.8552782558807,3.04508917052408,2.82466385735312,3.13921182385832,23.0856641165095,4.10551802527777,FALSE
