"route","region","location.bcr","location.statenum","location.routename","nyears_start","nyears_end","complete_coverage","matssname","window","nreq"
1,17,10,17,"MAYBELL",5,5,TRUE,"bbs_rtrg_1_17",4,5
1,27,27,27,"HARRIETTS BL",5,5,TRUE,"bbs_rtrg_1_27",4,5
1,34,23,34,"GUILFORD",5,5,TRUE,"bbs_rtrg_1_34",4,5
1,58,14,58,"PETERBOROUGH",5,5,TRUE,"bbs_rtrg_1_58",4,5
1,59,30,59,"WOODBURY HGT",5,5,TRUE,"bbs_rtrg_1_59",4,5
1,76,12,76,"EARDLEY",5,5,TRUE,"bbs_rtrg_1_76",4,5
1,89,5,89,"OZETTE",5,5,TRUE,"bbs_rtrg_1_89",4,5
2,17,10,17,"GREAT DIVIDE",5,5,TRUE,"bbs_rtrg_2_17",4,5
2,34,22,34,"MILL CREEK",5,5,TRUE,"bbs_rtrg_2_34",4,5
2,35,22,35,"HEBRON",5,5,TRUE,"bbs_rtrg_2_35",4,5
2,36,22,36,"EXLINE",5,5,TRUE,"bbs_rtrg_2_36",4,5
2,39,27,39,"LOVELACEVILE",5,5,TRUE,"bbs_rtrg_2_39",4,5
2,45,11,45,"DUFRESNE",5,5,TRUE,"bbs_rtrg_2_45",4,5
2,53,10,53,"KALISPELL",5,5,TRUE,"bbs_rtrg_2_53",4,5
2,60,16,60,"NAGEESI",5,5,TRUE,"bbs_rtrg_2_60",4,5
2,63,27,63,"MERRIMON",5,5,TRUE,"bbs_rtrg_2_63",4,5
2,83,36,83,"RACHAL",5,5,TRUE,"bbs_rtrg_2_83",4,5
2,89,5,89,"PORT ANGELES",5,5,TRUE,"bbs_rtrg_2_89",4,5
2,91,12,91,"IRON RIVER",5,5,TRUE,"bbs_rtrg_2_91",4,5
3,14,9,14,"NUBIEBER",5,5,TRUE,"bbs_rtrg_3_14",4,5
3,34,22,34,"HOLCOMB",5,5,TRUE,"bbs_rtrg_3_34",4,5
3,39,27,39,"SHILOH",5,5,TRUE,"bbs_rtrg_3_39",4,5
3,44,14,44,"BIDDEFORD",5,5,TRUE,"bbs_rtrg_3_44",4,5
3,46,28,46,"VINDEX",5,5,TRUE,"bbs_rtrg_3_46",4,5
3,58,14,58,"FITZWILLIAM",5,5,TRUE,"bbs_rtrg_3_58",4,5
3,59,30,59,"SIX POINTS",5,5,TRUE,"bbs_rtrg_3_59",4,5
3,72,13,72,"CLOVER",5,5,TRUE,"bbs_rtrg_3_72",4,5
3,80,27,80,"HARDEEVILLE",5,5,TRUE,"bbs_rtrg_3_80",4,5
3,81,11,81,"HOWARD",5,5,TRUE,"bbs_rtrg_3_81",4,5
3,88,28,88,"W AUGUSTA",5,5,TRUE,"bbs_rtrg_3_88",4,5
3,91,12,91,"MINONG",5,5,TRUE,"bbs_rtrg_3_91",4,5
4,17,16,17,"HARMONY",5,5,TRUE,"bbs_rtrg_4_17",4,5
4,39,24,39,"CANTON",5,5,TRUE,"bbs_rtrg_4_39",4,5
4,46,28,46,"OLDTOWN",5,5,TRUE,"bbs_rtrg_4_46",4,5
4,58,30,58,"DOVER",5,5,TRUE,"bbs_rtrg_4_58",4,5
4,60,16,60,"OJO SARCO",5,5,TRUE,"bbs_rtrg_4_60",4,5
4,64,11,64,"EDGELEY",5,5,TRUE,"bbs_rtrg_4_64",4,5
4,82,27,82,"BROWNSVILLE",5,5,TRUE,"bbs_rtrg_4_82",4,5
4,89,9,89,"NEWHALEM",5,5,TRUE,"bbs_rtrg_4_89",4,5
4,91,12,91,"GRAND VIEW",5,5,TRUE,"bbs_rtrg_4_91",4,5
5,7,25,7,"STAMPS",5,5,TRUE,"bbs_rtrg_5_7",4,5
5,35,23,35,"KEWANNA",5,5,TRUE,"bbs_rtrg_5_35",4,5
5,46,28,46,"POTOMAC PARK",5,5,TRUE,"bbs_rtrg_5_46",4,5
5,64,11,64,"LAKE GEORGE",5,5,TRUE,"bbs_rtrg_5_64",4,5
5,67,21,67,"MILL CREEK",5,5,TRUE,"bbs_rtrg_5_67",4,5
5,76,13,76,"VERCHÈRES",5,5,TRUE,"bbs_rtrg_5_76",4,5
5,88,28,88,"STANLEY",5,5,TRUE,"bbs_rtrg_5_88",4,5
5,92,17,92,"WYARNO",5,5,TRUE,"bbs_rtrg_5_92",4,5
6,17,18,17,"PINNEO",5,5,TRUE,"bbs_rtrg_6_17",4,5
6,34,22,34,"ITASCA",5,5,TRUE,"bbs_rtrg_6_34",4,5
6,36,22,36,"BRYANT",5,5,TRUE,"bbs_rtrg_6_36",4,5
6,44,14,44,"WILSON MILLS",5,5,TRUE,"bbs_rtrg_6_44",4,5
6,46,28,46,"WILLIAMSPORT",5,5,TRUE,"bbs_rtrg_6_46",4,5
6,54,19,54,"KENESAW",5,5,TRUE,"bbs_rtrg_6_54",4,5
6,58,30,58,"EPSOM",5,5,TRUE,"bbs_rtrg_6_58",4,5
6,60,18,60,"GRENVILLE",5,5,TRUE,"bbs_rtrg_6_60",4,5
6,69,10,69,"ALBEE",5,5,TRUE,"bbs_rtrg_6_69",4,5
6,72,28,72,"WHIG HILL",5,5,TRUE,"bbs_rtrg_6_72",4,5
6,82,27,82,"WHITEVILLE",5,5,TRUE,"bbs_rtrg_6_82",4,5
7,2,24,2,"SWAIM",5,5,TRUE,"bbs_rtrg_7_2",4,5
7,14,32,14,"RED BLUFF",5,5,TRUE,"bbs_rtrg_7_14",4,5
7,18,30,18,"WILLIMANTIC",5,5,TRUE,"bbs_rtrg_7_18",4,5
7,43,7,43,"INGRAHAM",5,5,TRUE,"bbs_rtrg_7_43",4,5
7,44,14,44,"BETHEL",5,5,TRUE,"bbs_rtrg_7_44",4,5
7,45,11,45,"MATHER",5,5,TRUE,"bbs_rtrg_7_45",4,5
7,52,26,52,"CP GIRARDEAU",5,5,TRUE,"bbs_rtrg_7_52",4,5
7,68,13,68,"STRATFORD",5,5,TRUE,"bbs_rtrg_7_68",4,5
7,83,36,83,"RANDADO",5,5,TRUE,"bbs_rtrg_7_83",4,5
7,87,14,87,"POST MILLS",5,5,TRUE,"bbs_rtrg_7_87",4,5
7,88,28,88,"EDINBURG",5,5,TRUE,"bbs_rtrg_7_88",4,5
8,7,26,7,"HUGHES",5,5,TRUE,"bbs_rtrg_8_7",4,5
8,18,30,18,"NO WOODBURY",5,5,TRUE,"bbs_rtrg_8_18",4,5
8,38,19,38,"ST JOHN",5,5,TRUE,"bbs_rtrg_8_38",4,5
8,50,22,50,"LAKEVILLE",5,5,TRUE,"bbs_rtrg_8_50",4,5
8,53,11,53,"HARLEM",5,5,TRUE,"bbs_rtrg_8_53",4,5
8,58,30,58,"STRAFFORD",5,5,TRUE,"bbs_rtrg_8_58",4,5
8,61,13,61,"RHINEBECK",5,5,TRUE,"bbs_rtrg_8_61",4,5
8,64,11,64,"EMERADO",5,5,TRUE,"bbs_rtrg_8_64",4,5
8,69,9,69,"IMNAHA",5,5,TRUE,"bbs_rtrg_8_69",4,5
8,72,13,72,"TEEPLEVILLE",5,5,TRUE,"bbs_rtrg_8_72",4,5
9,4,11,4,"BUFFALO HILL",5,5,TRUE,"bbs_rtrg_9_4",4,5
9,18,30,18,"SHERMAN",5,5,TRUE,"bbs_rtrg_9_18",4,5
9,34,22,34,"PUTNAM",5,5,TRUE,"bbs_rtrg_9_34",4,5
9,42,26,42,"ROSELAND",5,5,TRUE,"bbs_rtrg_9_42",4,5
9,46,29,46,"EMMITSBURG",5,5,TRUE,"bbs_rtrg_9_46",4,5
9,47,30,47,"LITTLETON",5,5,TRUE,"bbs_rtrg_9_47",4,5
9,53,11,53,"MALTA",5,5,TRUE,"bbs_rtrg_9_53",4,5
9,60,16,60,"LA CIENEGA",5,5,TRUE,"bbs_rtrg_9_60",4,5
9,69,5,69,"SALADO",5,5,TRUE,"bbs_rtrg_9_69",4,5
9,82,27,82,"SWEETLIPS",5,5,TRUE,"bbs_rtrg_9_82",4,5
9,92,10,92,"DUBOIS",5,5,TRUE,"bbs_rtrg_9_92",4,5
10,7,26,7,"SOUTH BEND",5,5,TRUE,"bbs_rtrg_10_7",4,5
10,25,27,25,"COVINGTON",5,5,TRUE,"bbs_rtrg_10_25",4,5
10,34,22,34,"SHEFFIELD",5,5,TRUE,"bbs_rtrg_10_34",4,5
10,35,22,35,"FOWLER",5,5,TRUE,"bbs_rtrg_10_35",4,5
10,42,27,42,"BICKHAM",5,5,TRUE,"bbs_rtrg_10_42",4,5
10,52,24,52,"AKERS",5,5,TRUE,"bbs_rtrg_10_52",4,5
10,53,11,53,"GLASGOW",5,5,TRUE,"bbs_rtrg_10_53",4,5
10,58,14,58,"GILMANTN I W",5,5,TRUE,"bbs_rtrg_10_58",4,5
10,63,27,63,"SPEED",5,5,TRUE,"bbs_rtrg_10_63",4,5
10,64,11,64,"WIMBLEDON",5,5,TRUE,"bbs_rtrg_10_64",4,5
10,81,11,81,"VOLGA",5,5,TRUE,"bbs_rtrg_10_81",4,5
10,82,27,82,"SILERTON",5,5,TRUE,"bbs_rtrg_10_82",4,5
10,87,14,87,"W RUTLAND",5,5,TRUE,"bbs_rtrg_10_87",4,5
10,88,30,88,"PORT ROYAL",5,5,TRUE,"bbs_rtrg_10_88",4,5
11,17,16,17,"CHEESMAN LK",5,5,TRUE,"bbs_rtrg_11_17",4,5
11,35,22,35,"W LAFAYETTE",5,5,TRUE,"bbs_rtrg_11_35",4,5
11,46,29,46,"OLNEY",5,5,TRUE,"bbs_rtrg_11_46",4,5
11,52,24,52,"WESCO",5,5,TRUE,"bbs_rtrg_11_52",4,5
11,58,14,58,"WILMOT",5,5,TRUE,"bbs_rtrg_11_58",4,5
11,63,27,63,"KINSTON",5,5,TRUE,"bbs_rtrg_11_63",4,5
11,64,11,64,"HORSEHEAD LK",5,5,TRUE,"bbs_rtrg_11_64",4,5
11,67,24,67,"BARON",5,5,TRUE,"bbs_rtrg_11_67",4,5
11,68,13,68,"KEMPTVILLE",5,5,TRUE,"bbs_rtrg_11_68",4,5
11,83,37,83,"HINKLES FER",5,5,TRUE,"bbs_rtrg_11_83",4,5
11,85,9,85,"GOSHEN",5,5,TRUE,"bbs_rtrg_11_85",4,5
12,2,28,2,"SUNNY EVE",5,5,TRUE,"bbs_rtrg_12_2",4,5
12,38,18,38,"LAKIN",5,5,TRUE,"bbs_rtrg_12_38",4,5
12,54,22,54,"GRETNA",5,5,TRUE,"bbs_rtrg_12_54",4,5
12,91,23,91,"LORAINE",5,5,TRUE,"bbs_rtrg_12_91",4,5
13,7,25,7,"HOLLYWOOD",5,5,TRUE,"bbs_rtrg_13_7",4,5
13,34,22,34,"STREATOR",5,5,TRUE,"bbs_rtrg_13_34",4,5
13,35,22,35,"GALVESTON",5,5,TRUE,"bbs_rtrg_13_35",4,5
13,36,11,36,"PANTHER",5,5,TRUE,"bbs_rtrg_13_36",4,5
13,38,22,38,"OLATHE",5,5,TRUE,"bbs_rtrg_13_38",4,5
13,44,14,44,"HARTFORD",5,5,TRUE,"bbs_rtrg_13_44",4,5
13,46,29,46,"WARFIELDSBRG",5,5,TRUE,"bbs_rtrg_13_46",4,5
13,53,10,53,"ST REGIS",5,5,TRUE,"bbs_rtrg_13_53",4,5
13,54,22,54,"IRVINGTON",5,5,TRUE,"bbs_rtrg_13_54",4,5
13,58,14,58,"WALPOLE",5,5,TRUE,"bbs_rtrg_13_58",4,5
13,69,10,69,"LOGDELL",5,5,TRUE,"bbs_rtrg_13_69",4,5
14,2,28,2,"SMYER LAKE",5,5,TRUE,"bbs_rtrg_14_2",4,5
14,17,18,17,"ABARR",5,5,TRUE,"bbs_rtrg_14_17",4,5
14,18,30,18,"MID HADDAM",5,5,TRUE,"bbs_rtrg_14_18",4,5
14,33,9,33,"LEADORE",5,5,TRUE,"bbs_rtrg_14_33",4,5
14,35,22,35,"THORNTOWN",5,5,TRUE,"bbs_rtrg_14_35",4,5
14,38,22,38,"DOVER",5,5,TRUE,"bbs_rtrg_14_38",4,5
14,46,29,46,"PLEASANT VAL",5,5,TRUE,"bbs_rtrg_14_46",4,5
14,47,30,47,"BELCHERTOWN",5,5,TRUE,"bbs_rtrg_14_47",4,5
14,52,24,52,"GRAYDON",5,5,TRUE,"bbs_rtrg_14_52",4,5
14,54,19,54,"SURPRISE",5,5,TRUE,"bbs_rtrg_14_54",4,5
14,58,14,58,"MARLOW",5,5,TRUE,"bbs_rtrg_14_58",4,5
14,68,13,68,"PICTON",5,5,TRUE,"bbs_rtrg_14_68",4,5
14,88,28,88,"PUTNAM",5,5,TRUE,"bbs_rtrg_14_88",4,5
15,25,27,25,"FT GADSDEN",5,5,TRUE,"bbs_rtrg_15_25",4,5
15,34,22,34,"ESSEX",5,5,TRUE,"bbs_rtrg_15_34",4,5
15,38,22,38,"BARCLAY",5,5,TRUE,"bbs_rtrg_15_38",4,5
15,46,29,46,"BACHMAN MILL",5,5,TRUE,"bbs_rtrg_15_46",4,5
15,50,23,50,"PRINCETON",5,5,TRUE,"bbs_rtrg_15_50",4,5
15,55,9,55,"TOIYABE NF",5,5,TRUE,"bbs_rtrg_15_55",4,5
15,67,21,67,"BEGGS",5,5,TRUE,"bbs_rtrg_15_67",4,5
15,68,13,68,"ROBLIN",5,5,TRUE,"bbs_rtrg_15_68",4,5
15,85,16,85,"BEAVER",5,5,TRUE,"bbs_rtrg_15_85",4,5
15,88,28,88,"COVINGTON",5,5,TRUE,"bbs_rtrg_15_88",4,5
15,91,12,91,"COUDERAY",5,5,TRUE,"bbs_rtrg_15_91",4,5
16,2,27,2,"HOWARD",5,5,TRUE,"bbs_rtrg_16_2",4,5
16,34,22,34,"NEWARK",5,5,TRUE,"bbs_rtrg_16_34",4,5
16,35,22,35,"MIDDLETOWN",5,5,TRUE,"bbs_rtrg_16_35",4,5
16,38,22,38,"WREFORD",5,5,TRUE,"bbs_rtrg_16_38",4,5
16,47,30,47,"S BARRE",5,5,TRUE,"bbs_rtrg_16_47",4,5
16,50,23,50,"OSSEO",5,5,TRUE,"bbs_rtrg_16_50",4,5
16,90,28,90,"NICUT",5,5,TRUE,"bbs_rtrg_16_90",4,5
17,34,22,34,"SHERBURNVILL",5,5,TRUE,"bbs_rtrg_17_34",4,5
17,38,22,38,"ELLINOR",5,5,TRUE,"bbs_rtrg_17_38",4,5
17,47,14,47,"N ORANGE",5,5,TRUE,"bbs_rtrg_17_47",4,5
17,49,12,49,"BEAR LAKE",5,5,TRUE,"bbs_rtrg_17_49",4,5
17,54,19,54,"PETERSBURG",5,5,TRUE,"bbs_rtrg_17_54",4,5
17,58,14,58,"JEFFERSON HL",5,5,TRUE,"bbs_rtrg_17_58",4,5
17,60,18,60,"COOLEY LAKE",5,5,TRUE,"bbs_rtrg_17_60",4,5
17,89,5,89,"BUNKER HILL",5,5,TRUE,"bbs_rtrg_17_89",4,5
17,91,12,91,"GILMAN",5,5,TRUE,"bbs_rtrg_17_91",4,5
17,92,10,92,"BEAR CREEK",5,5,TRUE,"bbs_rtrg_17_92",4,5
18,49,23,49,"SCOTTVILLE",5,5,TRUE,"bbs_rtrg_18_49",4,5
18,58,14,58,"FRANCONIA",5,5,TRUE,"bbs_rtrg_18_58",4,5
18,69,5,69,"UMPQUA",5,5,TRUE,"bbs_rtrg_18_69",4,5
