"scientificName","mean_wgt","sd_to_use","nind","log_var_est","var_est","sd_estimated"
"BA",8.80613577025,0.925555884505001,24,0.669627625684254,1.95350974832389,FALSE
"DM",43.3969748964456,6.00572417701731,588,3.66426226923083,39.0273338752003,FALSE
"DO",48.5962882090728,6.90236244439358,151,3.87672474992999,48.2658731038608,FALSE
"DS",113.857142857143,14.1739584767664,14,5.4752942648131,238.720703699305,FALSE
"PB",32.6899169142329,7.43233495029965,1623,3.13229962277973,22.92664159508,FALSE
"PE",20.8776296690244,3.75598936916234,82,2.29041295764828,9.87901645433722,FALSE
"PF",7,1.35188246785605,59,0.238649823140902,1.2695338973445,FALSE
"PI",16.4666666666667,0.990430401872025,15,1.84478714494395,6.32675296571081,FALSE
"PL",24.36,2.79702222610642,25,2.58005686174865,13.1978885933466,FALSE
"PM",22.6052631578947,4.83533991473592,38,2.43968933221856,11.4694769922808,FALSE
"PP",17.2852551481792,2.98781503842628,1049,1.93587941228769,6.93013582299613,FALSE
"RF",17,2.59170964478375,1,1.90463550491198,6.7169588828651,TRUE
"RM",10.4761904761905,1.93199397840695,105,0.995681955332474,2.70656947154356,FALSE
"RO",9,1.91485421551268,7,0.710513602621656,2.03503619020644,FALSE
