"siteID","scientificName","abund","oldName","sim"
"control","DM",602,"DM",-99
"control","DO",156,"DO",-99
"control","DS",250,"DS",-99
"control","PE",20,"PE",-99
"control","PF",53,"PF",-99
"control","PH",1,"PH",-99
"control","PM",9,"PM",-99
"control","PP",34,"PP",-99
"control","RM",45,"RM",-99
"exclosure","DM",14,"DM",-99
"exclosure","PE",51,"PE",-99
"exclosure","PF",195,"PF",-99
"exclosure","PH",5,"PH",-99
"exclosure","PM",61,"PM",-99
"exclosure","PP",22,"PP",-99
"exclosure","RF",2,"RF",-99
"exclosure","RM",145,"RM",-99
