"siteID","scientificName","abund","oldName","sim"
"control","DM",516,"DM",-99
"control","DO",129,"DO",-99
"control","PB",553,"PB",-99
"control","PE",47,"PE",-99
"control","PF",8,"PF",-99
"control","PI",3,"PI",-99
"control","PM",1,"PM",-99
"control","PP",362,"PP",-99
"control","RM",8,"RM",-99
"control","RO",1,"RO",-99
"exclosure","DM",41,"DM",-99
"exclosure","DO",30,"DO",-99
"exclosure","PB",1210,"PB",-99
"exclosure","PE",17,"PE",-99
"exclosure","PF",22,"PF",-99
"exclosure","PI",1,"PI",-99
"exclosure","PM",1,"PM",-99
"exclosure","PP",245,"PP",-99
"exclosure","RM",13,"RM",-99
