"scientificName","mean_wgt","sd_to_use","nind","log_var_est","var_est","sd_estimated"
"DM",44.6260152890305,6.74767200396665,557,3.87105492105567,47.9929881992826,FALSE
"DO",47.2402364644654,8.15964977551179,159,3.97365912251389,53.1787628720434,FALSE
"PB",30.6007293809643,6.69832412838849,1763,3.19105249171677,24.3140042691295,FALSE
"PE",21.8460336539063,4.24349744634796,64,2.58366309872425,13.2455692293544,FALSE
"PF",7.6,1.27576886891653,30,0.680646993763392,1.97515523203554,FALSE
"PI",16.5,1.91485421551268,4,2.07782618621407,7.98708758814917,FALSE
"PM",29,2.82842712474619,2,3.09421749534687,22.0699619310093,FALSE
"PP",16.4295075412191,3.36668303689099,607,2.07010969919748,7.92569251227072,FALSE
"RM",10.8571428571429,2.53546276418555,21,1.32348885411498,3.75650443751063,FALSE
"RO",12,2.1211015715762,1,1.50387112593569,4.49907187694302,TRUE
