"route","statenum","id"
7,18,"sp5280"
8,18,"sp5280"
9,18,"sp5280"
14,18,"sp5280"
116,18,"sp5280"
7,18,"sp3320"
8,18,"sp3320"
9,18,"sp3320"
14,18,"sp3320"
116,18,"sp3320"
7,18,"sp6970"
8,18,"sp6970"
9,18,"sp6970"
14,18,"sp6970"
116,18,"sp6970"
8,18,"sp4740"
9,18,"sp4740"
14,18,"sp4740"
116,18,"sp4740"
7,18,"sp4740"
7,18,"sp3560"
8,18,"sp3560"
9,18,"sp3560"
14,18,"sp3560"
116,18,"sp3560"
7,18,"sp6130"
8,18,"sp6130"
9,18,"sp6130"
14,18,"sp6130"
116,18,"sp6130"
7,18,"sp3640"
8,18,"sp3640"
9,18,"sp3640"
14,18,"sp3640"
116,18,"sp3640"
7,18,"sp6882"
8,18,"sp6882"
9,18,"sp6882"
14,18,"sp6882"
116,18,"sp6882"
7,18,"sp6160"
8,18,"sp6160"
9,18,"sp6160"
14,18,"sp6160"
116,18,"sp6160"
7,18,"sp5010"
8,18,"sp5010"
9,18,"sp5010"
14,18,"sp5010"
116,18,"sp5010"
7,18,"sp4930"
8,18,"sp4930"
9,18,"sp4930"
14,18,"sp4930"
116,18,"sp4930"
7,18,"sp6240"
8,18,"sp6240"
9,18,"sp6240"
14,18,"sp6240"
116,18,"sp6240"
7,18,"sp3310"
8,18,"sp3310"
9,18,"sp3310"
14,18,"sp3310"
116,18,"sp3310"
7,18,"sp3870"
8,18,"sp3870"
9,18,"sp3870"
14,18,"sp3870"
116,18,"sp3870"
7,18,"sp3880"
8,18,"sp3880"
9,18,"sp3880"
14,18,"sp3880"
116,18,"sp3880"
7,18,"sp4123"
8,18,"sp4123"
9,18,"sp4123"
14,18,"sp4123"
116,18,"sp4123"
7,18,"sp2890"
14,18,"sp2890"
8,18,"sp3260"
9,18,"sp3260"
14,18,"sp3260"
7,18,"sp3940"
8,18,"sp3940"
9,18,"sp3940"
14,18,"sp3940"
116,18,"sp3940"
7,18,"sp3570"
8,18,"sp3570"
9,18,"sp3570"
14,18,"sp3570"
116,18,"sp3570"
7,18,"sp3600"
8,18,"sp3600"
9,18,"sp3600"
14,18,"sp3600"
116,18,"sp3600"
7,18,"sp5330"
8,18,"sp5330"
9,18,"sp5330"
14,18,"sp5330"
116,18,"sp5330"
7,18,"sp4050"
8,18,"sp4050"
9,18,"sp4050"
14,18,"sp4050"
116,18,"sp4050"
7,18,"sp7310"
8,18,"sp7310"
9,18,"sp7310"
14,18,"sp7310"
116,18,"sp7310"
7,18,"sp6190"
8,18,"sp6190"
9,18,"sp6190"
14,18,"sp6190"
116,18,"sp6190"
7,18,"sp5290"
8,18,"sp5290"
9,18,"sp5290"
14,18,"sp5290"
116,18,"sp5290"
7,18,"sp5170"
8,18,"sp5170"
9,18,"sp5170"
14,18,"sp5170"
116,18,"sp5170"
8,18,"sp5140"
9,18,"sp5140"
116,18,"sp5140"
7,18,"sp5140"
14,18,"sp5140"
7,18,"sp6620"
8,18,"sp6620"
9,18,"sp6620"
14,18,"sp6620"
7,18,"sp6570"
8,18,"sp6570"
9,18,"sp6570"
14,18,"sp6570"
116,18,"sp6570"
7,18,"sp7550"
8,18,"sp7550"
9,18,"sp7550"
14,18,"sp7550"
116,18,"sp7550"
7,18,"sp5060"
8,18,"sp5060"
9,18,"sp5060"
14,18,"sp5060"
116,18,"sp5060"
7,18,"sp3930"
8,18,"sp3930"
9,18,"sp3930"
14,18,"sp3930"
116,18,"sp3930"
7,18,"sp6470"
8,18,"sp6470"
9,18,"sp6470"
14,18,"sp6470"
116,18,"sp6470"
7,18,"sp6450"
8,18,"sp6450"
9,18,"sp6450"
14,18,"sp6450"
116,18,"sp6450"
8,18,"sp6860"
9,18,"sp6860"
116,18,"sp6860"
7,18,"sp6850"
8,18,"sp6850"
9,18,"sp6850"
14,18,"sp6850"
116,18,"sp6850"
