"","route","region","nyears","matssname"
"1",1,14,30,"bbs_rtrg_1_14"
"2",1,21,30,"bbs_rtrg_1_21"
"3",1,58,31,"bbs_rtrg_1_58"
"4",1,64,30,"bbs_rtrg_1_64"
"5",1,76,31,"bbs_rtrg_1_76"
"6",1,89,30,"bbs_rtrg_1_89"
"7",2,34,31,"bbs_rtrg_2_34"
"8",2,36,31,"bbs_rtrg_2_36"
"9",2,45,31,"bbs_rtrg_2_45"
"10",2,53,31,"bbs_rtrg_2_53"
"11",2,63,31,"bbs_rtrg_2_63"
"12",2,89,31,"bbs_rtrg_2_89"
"13",2,92,30,"bbs_rtrg_2_92"
"14",3,34,30,"bbs_rtrg_3_34"
"15",3,36,30,"bbs_rtrg_3_36"
"16",3,39,30,"bbs_rtrg_3_39"
"17",3,46,31,"bbs_rtrg_3_46"
"18",3,50,30,"bbs_rtrg_3_50"
"19",3,58,31,"bbs_rtrg_3_58"
"20",3,59,30,"bbs_rtrg_3_59"
"21",3,80,31,"bbs_rtrg_3_80"
"22",3,81,31,"bbs_rtrg_3_81"
"23",3,91,30,"bbs_rtrg_3_91"
"24",4,17,30,"bbs_rtrg_4_17"
"25",4,46,30,"bbs_rtrg_4_46"
"26",4,58,31,"bbs_rtrg_4_58"
"27",4,60,30,"bbs_rtrg_4_60"
"28",4,63,30,"bbs_rtrg_4_63"
"29",4,88,30,"bbs_rtrg_4_88"
"30",4,89,31,"bbs_rtrg_4_89"
"31",4,91,31,"bbs_rtrg_4_91"
"32",5,7,31,"bbs_rtrg_5_7"
"33",5,35,31,"bbs_rtrg_5_35"
"34",5,45,30,"bbs_rtrg_5_45"
"35",5,46,31,"bbs_rtrg_5_46"
"36",5,76,31,"bbs_rtrg_5_76"
"37",5,88,31,"bbs_rtrg_5_88"
"38",5,92,31,"bbs_rtrg_5_92"
"39",6,36,31,"bbs_rtrg_6_36"
"40",6,39,30,"bbs_rtrg_6_39"
"41",6,44,31,"bbs_rtrg_6_44"
"42",6,46,31,"bbs_rtrg_6_46"
"43",6,72,31,"bbs_rtrg_6_72"
"44",6,82,31,"bbs_rtrg_6_82"
"45",7,44,30,"bbs_rtrg_7_44"
"46",7,52,30,"bbs_rtrg_7_52"
"47",7,88,30,"bbs_rtrg_7_88"
"48",8,50,31,"bbs_rtrg_8_50"
"49",8,58,31,"bbs_rtrg_8_58"
"50",8,72,30,"bbs_rtrg_8_72"
"51",9,17,30,"bbs_rtrg_9_17"
"52",9,18,31,"bbs_rtrg_9_18"
"53",9,47,30,"bbs_rtrg_9_47"
"54",9,53,31,"bbs_rtrg_9_53"
"55",9,58,30,"bbs_rtrg_9_58"
"56",9,82,30,"bbs_rtrg_9_82"
"57",10,25,30,"bbs_rtrg_10_25"
"58",10,35,31,"bbs_rtrg_10_35"
"59",10,52,31,"bbs_rtrg_10_52"
"60",10,58,31,"bbs_rtrg_10_58"
"61",10,63,31,"bbs_rtrg_10_63"
"62",10,72,30,"bbs_rtrg_10_72"
"63",10,81,31,"bbs_rtrg_10_81"
"64",10,82,31,"bbs_rtrg_10_82"
"65",11,17,31,"bbs_rtrg_11_17"
"66",11,35,31,"bbs_rtrg_11_35"
"67",11,46,31,"bbs_rtrg_11_46"
"68",11,52,31,"bbs_rtrg_11_52"
"69",11,58,30,"bbs_rtrg_11_58"
"70",11,63,31,"bbs_rtrg_11_63"
"71",11,64,30,"bbs_rtrg_11_64"
"72",11,67,31,"bbs_rtrg_11_67"
"73",11,85,31,"bbs_rtrg_11_85"
"74",12,54,30,"bbs_rtrg_12_54"
"75",12,68,30,"bbs_rtrg_12_68"
"76",12,91,31,"bbs_rtrg_12_91"
"77",13,35,31,"bbs_rtrg_13_35"
"78",13,36,31,"bbs_rtrg_13_36"
"79",13,44,31,"bbs_rtrg_13_44"
"80",13,45,30,"bbs_rtrg_13_45"
"81",13,46,31,"bbs_rtrg_13_46"
"82",13,58,30,"bbs_rtrg_13_58"
"83",14,25,30,"bbs_rtrg_14_25"
"84",14,35,31,"bbs_rtrg_14_35"
"85",14,38,31,"bbs_rtrg_14_38"
"86",14,46,31,"bbs_rtrg_14_46"
"87",14,47,31,"bbs_rtrg_14_47"
"88",14,52,31,"bbs_rtrg_14_52"
"89",14,54,30,"bbs_rtrg_14_54"
"90",14,58,31,"bbs_rtrg_14_58"
"91",14,68,30,"bbs_rtrg_14_68"
"92",14,88,31,"bbs_rtrg_14_88"
"93",15,7,30,"bbs_rtrg_15_7"
"94",15,38,31,"bbs_rtrg_15_38"
"95",15,46,31,"bbs_rtrg_15_46"
"96",15,50,31,"bbs_rtrg_15_50"
"97",15,67,31,"bbs_rtrg_15_67"
"98",15,68,31,"bbs_rtrg_15_68"
"99",16,38,31,"bbs_rtrg_16_38"
"100",16,46,30,"bbs_rtrg_16_46"
"101",16,52,30,"bbs_rtrg_16_52"
"102",16,90,31,"bbs_rtrg_16_90"
"103",17,38,30,"bbs_rtrg_17_38"
"104",17,46,30,"bbs_rtrg_17_46"
"105",17,47,30,"bbs_rtrg_17_47"
"106",17,49,30,"bbs_rtrg_17_49"
"107",17,58,30,"bbs_rtrg_17_58"
"108",17,60,31,"bbs_rtrg_17_60"
