"route","region","location.bcr","location.statenum","location.routename","nyears_start","nyears_end","complete_coverage","matssname","window","nreq"
131,3,2,3,"CHINIAK",5,5,TRUE,"bbs_rtrg_131_3",4,5
231,3,2,3,"Kodiak 2",5,5,TRUE,"bbs_rtrg_231_3",4,5
41,3,4,3,"L SALCHA",5,5,TRUE,"bbs_rtrg_41_3",4,5
318,3,4,3,"SEVEN LAKES",5,5,TRUE,"bbs_rtrg_318_3",4,5
2,89,5,89,"PORT ANGELES",5,5,TRUE,"bbs_rtrg_2_89",4,5
17,89,5,89,"BUNKER HILL",5,5,TRUE,"bbs_rtrg_17_89",4,5
18,69,5,69,"UMPQUA",5,5,TRUE,"bbs_rtrg_18_69",4,5
19,69,5,69,"WINBERRY",5,5,TRUE,"bbs_rtrg_19_69",4,5
26,69,5,69,"DAYS CREEK",5,5,TRUE,"bbs_rtrg_26_69",4,5
34,89,5,89,"EVERETT",5,5,TRUE,"bbs_rtrg_34_89",4,5
43,89,5,89,"PACKWOOD",5,5,TRUE,"bbs_rtrg_43_89",4,5
111,89,5,89,"CARNATION",5,5,TRUE,"bbs_rtrg_111_89",4,5
224,3,5,3,"ZIMOVIA STRT",5,5,TRUE,"bbs_rtrg_224_3",4,5
413,11,5,11,"NANAIMO RIV",5,5,TRUE,"bbs_rtrg_413_11",4,5
40,4,6,4,"THUNDER LAKE",5,5,TRUE,"bbs_rtrg_40_4",4,5
7,43,7,43,"INGRAHAM",5,5,TRUE,"bbs_rtrg_7_43",4,5
8,69,9,69,"IMNAHA",5,5,TRUE,"bbs_rtrg_8_69",4,5
11,85,9,85,"GOSHEN",5,5,TRUE,"bbs_rtrg_11_85",4,5
19,85,9,85,"IRON SPRINGS",5,5,TRUE,"bbs_rtrg_19_85",4,5
19,89,9,89,"RIMROCK",5,5,TRUE,"bbs_rtrg_19_89",4,5
21,69,9,69,"FANDANGO CAN",5,5,TRUE,"bbs_rtrg_21_69",4,5
29,89,9,89,"WINTHROP",5,5,TRUE,"bbs_rtrg_29_89",4,5
44,89,9,89,"ELLENSBURG",5,5,TRUE,"bbs_rtrg_44_89",4,5
119,85,9,85,"BERYL",5,5,TRUE,"bbs_rtrg_119_85",4,5
151,14,9,14,"LIKELY",5,5,TRUE,"bbs_rtrg_151_14",4,5
199,14,9,14,"BARTLE",5,5,TRUE,"bbs_rtrg_199_14",4,5
2,17,10,17,"GREAT DIVIDE",5,5,TRUE,"bbs_rtrg_2_17",4,5
6,69,10,69,"ALBEE",5,5,TRUE,"bbs_rtrg_6_69",4,5
13,53,10,53,"ST REGIS",5,5,TRUE,"bbs_rtrg_13_53",4,5
26,53,10,53,"CLINTON",5,5,TRUE,"bbs_rtrg_26_53",4,5
36,53,10,53,"SULA",5,5,TRUE,"bbs_rtrg_36_53",4,5
39,53,10,53,"CHESTNUT",5,5,TRUE,"bbs_rtrg_39_53",4,5
46,53,10,53,"BEAVERHEAD",5,5,TRUE,"bbs_rtrg_46_53",4,5
47,53,10,53,"RED ROCK",5,5,TRUE,"bbs_rtrg_47_53",4,5
53,92,10,92,"HORSE CREEK",5,5,TRUE,"bbs_rtrg_53_92",4,5
97,92,10,92,"ROCK SPRINGS",5,5,TRUE,"bbs_rtrg_97_92",4,5
2,45,11,45,"DUFRESNE",5,5,TRUE,"bbs_rtrg_2_45",4,5
3,81,11,81,"HOWARD",5,5,TRUE,"bbs_rtrg_3_81",4,5
4,64,11,64,"EDGELEY",5,5,TRUE,"bbs_rtrg_4_64",4,5
8,64,11,64,"EMERADO",5,5,TRUE,"bbs_rtrg_8_64",4,5
9,4,11,4,"BUFFALO HILL",5,5,TRUE,"bbs_rtrg_9_4",4,5
10,64,11,64,"WIMBLEDON",5,5,TRUE,"bbs_rtrg_10_64",4,5
13,36,11,36,"PANTHER",5,5,TRUE,"bbs_rtrg_13_36",4,5
20,4,11,4,"HALKIRK",5,5,TRUE,"bbs_rtrg_20_4",4,5
22,36,11,36,"KANAWHA",5,5,TRUE,"bbs_rtrg_22_36",4,5
28,4,11,4,"LINDBROOK",5,5,TRUE,"bbs_rtrg_28_4",4,5
3,91,12,91,"MINONG",5,5,TRUE,"bbs_rtrg_3_91",4,5
4,91,12,91,"GRAND VIEW",5,5,TRUE,"bbs_rtrg_4_91",4,5
17,49,12,49,"BEAR LAKE",5,5,TRUE,"bbs_rtrg_17_49",4,5
25,91,12,91,"POPPLE RIVER",5,5,TRUE,"bbs_rtrg_25_91",4,5
26,50,12,50,"PINE RIVER",5,5,TRUE,"bbs_rtrg_26_50",4,5
26,68,12,68,"BARRY'S BAY",5,5,TRUE,"bbs_rtrg_26_68",4,5
32,50,12,50,"LOCKPORT",5,5,TRUE,"bbs_rtrg_32_50",4,5
35,50,12,50,"FLOODWOOD",5,5,TRUE,"bbs_rtrg_35_50",4,5
39,76,12,76,"ST URBAIN",5,5,TRUE,"bbs_rtrg_39_76",4,5
66,68,12,68,"STRATTON",5,5,TRUE,"bbs_rtrg_66_68",4,5
3,72,13,72,"CLOVER",5,5,TRUE,"bbs_rtrg_3_72",4,5
5,76,13,76,"VERCHÈRES",5,5,TRUE,"bbs_rtrg_5_76",4,5
7,68,13,68,"STRATFORD",5,5,TRUE,"bbs_rtrg_7_68",4,5
11,68,13,68,"KEMPTVILLE",5,5,TRUE,"bbs_rtrg_11_68",4,5
15,68,13,68,"ROBLIN",5,5,TRUE,"bbs_rtrg_15_68",4,5
19,76,13,76,"ST CELESTIN",5,5,TRUE,"bbs_rtrg_19_76",4,5
37,68,13,68,"MANITOWANING",5,5,TRUE,"bbs_rtrg_37_68",4,5
65,61,13,61,"E YOUNGSTOWN",5,5,TRUE,"bbs_rtrg_65_61",4,5
90,61,13,61,"ARGYLE",5,5,TRUE,"bbs_rtrg_90_61",4,5
119,68,13,68,"WILFRID",5,5,TRUE,"bbs_rtrg_119_68",4,5
6,44,14,44,"WILSON MILLS",5,5,TRUE,"bbs_rtrg_6_44",4,5
7,87,14,87,"POST MILLS",5,5,TRUE,"bbs_rtrg_7_87",4,5
10,58,14,58,"GILMANTN I W",5,5,TRUE,"bbs_rtrg_10_58",4,5
11,58,14,58,"WILMOT",5,5,TRUE,"bbs_rtrg_11_58",4,5
13,58,14,58,"WALPOLE",5,5,TRUE,"bbs_rtrg_13_58",4,5
17,58,14,58,"JEFFERSON HL",5,5,TRUE,"bbs_rtrg_17_58",4,5
18,58,14,58,"FRANCONIA",5,5,TRUE,"bbs_rtrg_18_58",4,5
22,58,14,58,"CLARKSVILLE",5,5,TRUE,"bbs_rtrg_22_58",4,5
60,76,14,76,"STE RITA",5,5,TRUE,"bbs_rtrg_60_76",4,5
73,61,14,61,"MCKEEVER",5,5,TRUE,"bbs_rtrg_73_61",4,5
78,14,15,14,"JOHNSVILLE",5,5,TRUE,"bbs_rtrg_78_14",4,5
201,14,15,14,"HAT CREEK",5,5,TRUE,"bbs_rtrg_201_14",4,5
